"merchant_raw","count"
"MCDONALDS ONLINE PMT","1"
"CHIPOTLE ONLINE PMT","2"
"ACH WEB PMT AMAZON MKTPL","3"
"ACH WEB PMT AMAZON.COM","4"
"ACH WEB PMT WALMART","5"
"ACH WEB PMT TARGET","1"
"ACH WEB PMT COSTCO WHSE","2"
"ACH WEB PMT STARBUCKS","3"
"ACH WEB PMT MCDONALDS","4"
"ACH WEB PMT CHIPOTLE","5"
"AMAZON MKTPL CHECKCARD PURCHASE","1"
"AMAZON.COM CHECKCARD PURCHASE","2"
"WALMART CHECKCARD PURCHASE","3"
"TARGET CHECKCARD PURCHASE","4"
"COSTCO WHSE CHECKCARD PURCHASE","5"
"STARBUCKS CHECKCARD PURCHASE","1"
"MCDONALDS CHECKCARD PURCHASE","2"
"CHIPOTLE CHECKCARD PURCHASE","3"
"AMAZON MKTPL WEB ID 00000","4"
"AMAZON.COM WEB ID 00000","5"
"WALMART WEB ID 00000","1"
"TARGET WEB ID 00000","2"
"COSTCO WHSE WEB ID 00000","3"
"STARBUCKS WEB ID 00000","4"
"MCDONALDS WEB ID 00000","5"
"CHIPOTLE WEB ID 00000","1"
"AUTH AMAZON MKTPL DEBIT CARD","2"
"AUTH AMAZON.COM DEBIT CARD","3"
"AUTH WALMART DEBIT CARD","4"
"AUTH TARGET DEBIT CARD","5"
"AUTH COSTCO WHSE DEBIT CARD","1"
"AUTH STARBUCKS DEBIT CARD","2"
"AUTH MCDONALDS DEBIT CARD","3"
"AUTH CHIPOTLE DEBIT CARD","4"
"ONLINE TRANSFER TO CHECKING","5"
"ONLINE TRANSFER TO CHECKING","1"
"ONLINE TRANSFER TO CHECKING","2"
"ONLINE TRANSFER TO CHECKING","3"
"ONLINE TRANSFER TO CHECKING","4"
"ONLINE TRANSFER TO CHECKING","5"
"ONLINE TRANSFER TO CHECKING","1"
"ONLINE TRANSFER TO CHECKING","2"
"ONLINE TRANSFER FROM SAVINGS","3"
"ONLINE TRANSFER FROM SAVINGS","4"
"ONLINE TRANSFER FROM SAVINGS","5"
"ONLINE TRANSFER FROM SAVINGS","1"
"ONLINE TRANSFER FROM SAVINGS","2"
"ONLINE TRANSFER FROM SAVINGS","3"
"ONLINE TRANSFER FROM SAVINGS","4"
"ONLINE TRANSFER FROM SAVINGS","5"
"CITY UTILITIES ONLINE PMT","3"
"STATE FARM INS RECURRING PAYMENT","2"
"VERIZON WIRELESS WEB PMT","4"
"COMCAST CABLE ONLINE PMT","3"
"PLANET FIT MEMBERSHIP RECURRING","2"
"ACH TRANSFER TO SAVINGS","5"
"POS DEBIT COFFEE SHOP","6"
"PURCHASE AUTHORIZED GROCERY","4"
